x_star,y_star,u_star,v_star,p_star,bc_tag
0.267397,0.270209,1.09975,-0.0708608,230.423,0
0.299574,0.223552,1.20817,-0.0653126,229.823,0
0.0707487,0.366151,0.869395,-0.0589329,235.399,0
0.0237408,0.377704,0.839735,-0.026932,237.372,0
0.144505,0.384334,0.745703,-0.0520345,233.296,0
0.191118,0.391321,0.684124,-0.0413301,232.135,0
0.109751,0.372794,0.819603,-0.0610184,234.241,0
0,0.386281,0.804708,-1.18237e-32,238.679,1
0.293451,0.296537,1.01658,-0.0568511,230.092,0
0.265069,0.328912,0.914449,-0.0547327,230.609,0
0.237474,0.377874,0.724002,-0.0401647,231.159,0
0.312876,-0.5,1.01137e-31,-3.47875e-30,229.471,3
0.326571,-0.467888,0.20452,0.00227435,229.416,0
0.312315,-0.411697,0.527326,0.0159677,229.8,0
0.341916,-0.436026,0.388184,0.0074984,229.29,0
0.322989,-0.382695,0.667761,0.0237767,229.673,0
0.320135,-0.323502,0.916661,0.0424898,229.722,0
0.340134,-0.352335,0.797418,0.0301319,229.428,0
0.324704,-0.27873,1.06475,0.0517195,229.599,0
0.338369,-0.242622,1.16193,0.0525071,229.346,0
0.340968,-0.212694,1.2309,0.0528759,229.261,0
0.300704,-0.0722013,1.40216,0.0324296,229.439,0
0.299016,-0.0431735,1.41426,0.0201032,229.418,0
0.343567,-0.182766,1.28894,0.0507708,229.165,0
0.338362,-0.129507,1.36548,0.0436014,229.127,0
0.340249,-0.0971528,1.39849,0.0346997,229.059,0
0.326962,-0.0272826,1.43066,0.0112486,229.128,0
0.346377,0.0141786,1.44051,-0.00533491,228.923,0
0.334904,0.042004,1.42956,-0.0165252,229.056,0
0.323432,0.0698294,1.41234,-0.0282746,229.203,0
0.350618,0.0931557,1.40487,-0.0317615,228.936,0
0.33381,0.188853,1.2773,-0.053976,229.3,0
0.342492,0.146434,1.3451,-0.0461195,229.111,0
0.302322,0.256633,1.12994,-0.0618688,229.872,0
0.345391,0.2246,1.20468,-0.0514813,229.219,0
0.0802071,0.391152,0.752782,-0.0474999,235.345,0
0.0495062,0.39834,0.733215,-0.035406,236.598,0
0.0213345,0.404808,0.710055,-0.0180851,237.976,0
0.324704,0.27873,1.06474,-0.0517127,229.6,0
0.153454,0.411718,0.600153,-0.0341841,233.078,0
0.125697,0.414804,0.600043,-0.0343684,233.915,0
0.191257,0.428576,0.483185,-0.0211115,232.094,0
0.21972,0.416851,0.53578,-0.0239651,231.484,0
0.0901288,0.417379,0.607412,-0.0328837,235.111,0
0,0.413873,0.663189,-8.19053e-33,239.221,1
0.311565,0.325059,0.913366,-0.044104,229.854,0
0.293609,0.355414,0.79943,-0.0382095,230.152,0
